Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
30210,651.194,254.80025694154648,151.38745723232782,1.6831001828012442,0.8043603937665704,30507,196.12385537320355,0.788608123629529,0.9902645294522568,0.8952406802097673,0.7697160816372182,0.0084343017855526,0.001826211782417,0.5924628463309527,0.997174324962572,DERMASON
26989,603.446,209.2363657946405,164.96866207717008,1.268340078412969,0.615121827688101,27389,185.37384409041448,0.7248871938117748,0.9853955967724269,0.9313648244714704,0.8859542335597321,0.0077526535179013,0.0029462886226976,0.7849149039624127,0.9955390308391946,DERMASON
79508,1120.351,410.4717739532301,248.30645901441383,1.6530853671003494,0.7962790820860058,80728,318.1709127541412,0.7068885806749884,0.984887523535824,0.7959989242222778,0.7751346936473983,0.0051626474562714,0.0011496375334578,0.6008337932958462,0.9932295517567592,BARBUNYA
47394,880.1059999999999,365.5402720747732,165.75142778433883,2.2053521768173363,0.891285625097873,48081,245.64998470013856,0.6249208860759494,0.9857116116553316,0.7688883218651632,0.6720189359871396,0.007712796389306,0.0009703260077069,0.4516094503252871,0.9959578843461526,HOROZ
145339,1465.758,543.2584514086767,342.46875483305183,1.586300775594862,0.7762725206496314,147256,430.1759665442315,0.6959580142985065,0.9869818547291791,0.8500950460435313,0.7918440392943346,0.0037378711248094,0.000906489324279,0.6270169825659676,0.9946375257555444,BOMBAY
39578,756.0260000000001,276.60458941344723,182.56207157919863,1.5151262637455958,0.7512559352714836,40028,224.4822369398708,0.710926694329184,0.988757869491356,0.870142228233418,0.8115636743985184,0.0069888470719452,0.0018701468034304,0.6586355976032244,0.997916092166421,SIRA
34088,681.991,251.0042460025265,173.36092136040557,1.4478709736475486,0.7231707602170998,34437,208.3319217041216,0.807064895707555,0.9898655515869559,0.9209882686760128,0.8299936157335942,0.00736341956121,0.0021555510707728,0.6888894021585252,0.9974229694387416,DERMASON
39545,730.9229999999999,265.8705858057984,189.8815074587001,1.400192095397316,0.6999542133443675,39902,224.38863116600183,0.7277327935222672,,0.9301611314993528,0.8439768938181959,0.0067232415174054,0.0021041694092508,0.7122969972990102,0.9973526251933176,D3RMAS0N
44163,774.123,270.9880394528472,207.84878469509903,1.3037749527877656,0.641642871473014,44646,237.1288215593773,0.7524022079869156,0.989181561618062,0.9260799666508256,0.8750527220247979,0.0061360876628138,0.0022192600672194,0.7657172663230082,0.9983229927490568,SEKER
39245,713.9329999999999,242.4137474035912,206.4400701326894,1.1742572420547022,0.5241886745177649,39588,223.53587169206529,0.7791344054000398,0.9913357583105992,0.9675630702897794,0.9221253913454983,0.0061769333011489,0.0027549428730324,0.8503152373640884,0.9984888255042436,SEKER
206303,1734.416,666.0177998119804,395.9859468011504,1.6819228187065691,0.8040530183864562,207854,512.5164756351725,0.8175920421670035,0.9925380315028818,0.86180471325093,0.7695236910783135,0.003228347623699,0.0006983096359864,0.5921667111307917,0.9959787039292998,BOMBAY
